object_id,class,auxiliary_band,target_band,effective_aux_support_object,delta_nlpd_object,delta_sharp_object,delta_std_error_object,delta_squared_error_object,rmse_mogp_object,rmse_model_d_object,delta_rmse_object,n_test_points
21846282,SNIa,i,r,3.0,-6.294275199447696e-05,4.235242093933468e-06,-6.717799408861425e-05,-0.0042742089498957955,20.019539450248573,20.019432699032933,-0.0001067512156396333,4
114421739,AGN,i,r,2.5,0.01840957201041704,-0.03879674798927035,0.057206319999687144,0.43482117656709107,4.783419577627802,4.828656545272197,0.04523696764439489,4
30652072,SNII,i,r,3.8,-0.01120239704038033,0.01866213001469343,-0.029864527055074162,-0.8207029921129394,3.470177130130222,3.349839745773802,-0.12033738435642016,5
107732897,TDE,i,r,3.2,0.3000934926470489,0.29616407630117003,0.003929416345879114,15622.156852142618,112.86796698209935,168.40823858355293,55.54027160145358,5
121186562,AGN,i,r,2.8333333333333335,0.0696139444223,0.08720435716029734,-0.01759041273799712,-11.685383972864988,36.00852876117831,35.845902967727575,-0.16262579345073647,6
10905347,SNII,i,r,4.2,-0.004027987262856758,0.008872729590769518,-0.012900716853626332,-0.7130358310678545,3.1808417377107676,3.0667113214802266,-0.11413041623054099,5
16775731,SNIa,i,r,3.8,-0.008874149038501412,0.20530664625445452,-0.21418079529295575,-21.481364686097454,6.044155468994111,3.8794910294101674,-2.1646644395839436,5
31971611,SNII,i,r,4.4,0.18376293073962247,0.22548039026942038,-0.04171745952979803,2.019944191575435,3.7458193337438686,4.006383240857619,0.2605639071137502,5
50875482,SNIbc,i,r,3.6,-0.5914912742543995,0.0566975132821672,-0.6481887875365668,-12.037037123245504,7.20142148269426,6.310581133949938,-0.8908403487443222,5
52437992,AGN,i,r,4.4,0.9099416490229661,0.22484397065504091,0.6850976783679249,97.8995006453686,3.9028126906580396,10.636326788122394,6.733514097464354,5
100164081,SLSN-I,i,r,3.6,0.6009883635153168,0.5687467915088198,0.03224157200649698,10.450866932577611,1.4891804462740121,3.5592871946700897,2.0701067483960776,5
6777396,AGN,i,r,3.6,0.0925915933969775,0.05710990140753578,0.03548169198944153,9.937499195692816,8.557439478477555,9.11960907185714,0.5621695933795845,5
56002762,SNII,i,r,2.8,-0.01651931596547591,-0.061709153135023155,0.04518983716954714,89.53322340940235,12.830505941679213,15.942242819906738,3.111736878227525,5
93866109,SNIbc,i,r,3.0,0.35152093698660314,0.3544308891498982,-0.0029099521632955554,-8.236990365281624,5.022510245108807,4.121725220941021,-0.9007850241677859,5
31725628,SNII,i,r,3.6,0.1308922648635086,0.14398377553933156,-0.013091510675822949,17.234174718769403,3.484640243983188,5.420045419436686,1.9354051754534982,5
41660164,SNIbc,i,r,2.8333333333333335,0.11813915256583256,0.3852346083706694,-0.26709545580483696,-2.142236063922805,6.625352963760498,6.461661228390669,-0.16369173536982906,6
43441391,TDE,i,r,3.0,0.10162325617137088,0.09893992020985962,0.0026833359615109596,1.669886152537681,2.3800365641968635,2.7082208549990328,0.32818429080216927,5
46741316,SNIa,i,r,2.8333333333333335,-0.11360820708207975,-0.0012003853777956934,-0.1124078217042838,-5.3486005563494965,6.74659156543931,6.337814859595327,-0.40877670584398285,6
56383332,SNIax,i,r,4.2,0.09951747861470653,0.12169926495935657,-0.02218178634464979,-1.4598452794615846,2.298137432600326,1.9548888407419058,-0.34324859185842005,5
26794348,SNII,i,r,4.0,0.06882171751262386,-0.06504277580228901,0.13386449331491315,-0.5380126304765993,3.418881719949744,3.339272313623123,-0.07960940632662128,5
97960909,SNIa,i,r,4.4,0.3058551595441803,0.07154423848736906,0.23431092105681134,2.7788324270879725,3.3867743430797734,3.7747944153332913,0.38802007225351787,5
114809828,SNII,i,r,3.25,0.08860212487895403,0.10764316578117618,-0.019041040902222212,-0.8024404343210519,2.13566208187201,1.9387140309042061,-0.19694805096780388,4
9858227,M-dwarf,i,r,3.5,0.0028760848035097966,-0.012415176506298843,0.015291261309808762,9.093219210111585,9.94353693317009,10.390724034032914,0.44718710086282343,6
19370388,SNII,i,r,4.4,-2.269994297114941e-05,1.4880355225138384e-05,-3.75802981961465e-05,-0.00047986402895985327,2.042430889748003,2.0423134126200755,-0.00011747712792731235,5
39985847,SNIa,i,r,5.6,0.19866695964572,0.20142511508623376,-0.0027581554405136646,1.4861563343003528,1.3756317776600548,1.8380748412424657,0.46244306358241083,5
76782555,TDE,i,r,4.4,-0.19388659576603695,0.15084914925661233,-0.3447357450226492,-17.524567500939956,5.4598548818049615,3.5050603175165937,-1.9547945642883677,5
92321294,SNIa,i,r,4.2,0.0331368673986816,0.027352686671338222,0.005784180727343616,0.764238030391503,3.063210230568166,3.1855132941252933,0.12230306355712717,5
94621519,SNII,i,r,3.4,0.126040422860342,0.06732823541113325,0.05871218744920873,0.3110309999637838,3.0943126478786107,3.1441694869687487,0.04985683909013794,5
106260667,TDE,i,r,3.4,0.17434912125827165,-0.005174064912217068,0.1795231861704886,43.1909983253774,6.590086916898275,9.30699972588649,2.716912808988215,5
3219576,SNIbc,i,r,4.6,-0.8091363548705193,0.380618429321897,-1.189754784192416,-151.72825133343042,17.059318166813636,11.802206784459731,-5.257111382353905,5
26109323,SNIbc,i,r,4.2,0.10289791893512623,0.136039882597524,-0.033141963662397765,-1.1897749213922717,3.2521822136703498,3.0638071462677776,-0.18837506740257215,5
50150449,SNIbc,i,r,3.4,0.011044672601433669,-0.03214505768005131,0.04318973028148464,2.609919867716912,4.49970325841977,4.780925567455574,0.2812223090358037,5
74893050,TDE,i,r,4.2,0.2613104073709162,0.4867049157825537,-0.22539450841163705,1016.6845653507713,38.83789413289502,50.25004065698587,11.412146524090844,5
79883325,SNIa,i,r,4.2,0.08057480329622191,0.04395417796140838,0.03662062533481353,3.8235584479420694,3.8277342100964713,4.298267980371271,0.47053377027480003,5
111941650,SNII,i,r,1.0,-0.002985346991077442,-0.002602072805011512,-0.0003832741860660711,-0.154585265790712,3.2755760587442992,3.2518937945185304,-0.0236822642257688,5
7358574,SNIa,i,r,4.2,-0.01487553568964497,0.03942173609701645,-0.05429727178666144,-5.413586417294104,3.260887626156978,2.2846885330673827,-0.9761990930895954,5
24400626,SNIa,i,r,4.0,0.5977141165441618,0.2852077980559259,0.31250631848823623,171.66203802383762,4.511973462686108,13.857126056719745,9.345152594033635,5
36008055,SNII,i,r,2.0,0.19391934527922877,0.20104365570737975,-0.00712431042815032,-54.19049868073914,7.4748839071954,1.2974554887585217,-6.177428418436878,5
59907038,SNII,i,r,3.6,-0.029764890491316098,-0.025777764051901946,-0.0039871264394139095,-10.606628678808457,5.508446944548348,4.442562218145692,-1.0658847264026559,5
4288146,SNIa,i,r,4.6,0.33286464333425103,0.5022708203817017,-0.1694061770474508,-56.70116868503692,12.248052417494147,9.659897480648917,-2.58815493684523,5
4831627,SNIa,i,r,4.2,0.5999946273384478,0.5845046241696411,0.015490003168806537,15.893613795322679,2.239828474395432,4.572794046317333,2.332965571921901,5
26385586,TDE,i,r,4.4,0.5964701824765114,0.6186031339859493,-0.02213295150943821,103.24193414249298,5.748484835033636,11.67420284392492,5.925718008891284,5
54013347,SNII,i,r,3.5,0.0593333699802302,0.028711282527039618,0.030622087453190835,-16.536701864010112,5.488688020018914,3.6863253135187404,-1.802362706500174,4
56927863,SNII,i,r,4.8,-0.009704451233488598,0.021117510212135832,-0.03082196144562447,-1.6211027215914733,3.705291207574977,3.479666681068886,-0.225624526506091,5
118689867,M-dwarf,i,r,3.3333333333333335,-0.013460052931964395,0.009580241088063548,-0.023040294020028006,1.8173770510517313,4.630083580524173,4.822349117773544,0.19226553724937112,6
25842167,SNIa,i,r,3.5,0.484182072047363,0.5049307990782638,-0.020748727030900888,45.13805154321039,5.08952747423499,8.428602580155454,3.3390751059204637,6
31730775,TDE,i,r,5.0,0.12763845560445675,0.09493885132791331,0.032699604276543635,4.232092308672869,6.256424845391884,6.585965696441922,0.32954085105003816,6
85439795,M-dwarf,i,r,4.2,0.37502472748922183,0.4917819852666928,-0.11675725777747104,-112.28144396676024,39.6968494552472,38.25648196980218,-1.440367485445016,5
95373927,SNII,i,r,5.0,0.03385457927674196,0.017104205801957668,0.01675037347478427,1.118826134095459,4.205142388768514,4.336132913543267,0.13099052477475315,5
130375489,SNIa,i,r,3.5,0.2801351103704889,-0.013740697553240318,0.2938758079237292,4.830766324386448,3.657173628375848,4.266812073723685,0.6096384453478367,4
22540174,TDE,i,r,3.6,0.30935350380814397,0.16539615942083666,0.14395734438730737,19.341162802098896,2.8797990296863056,5.256843658839501,2.3770446291531955,5
100826219,TDE,i,r,3.8,0.2993879383714221,0.3083249007217087,-0.00893696235028647,156.8061525376157,5.567619160194596,13.704179495707933,8.136560335513337,5
105385367,KN,i,r,4.0,3.4109786148187973e-06,2.358141373445643e-06,1.0528372414309632e-06,3.354190766783477e-05,1.5492570005902209,1.5492678257117054,1.0825121484536737e-05,6
15406344,SNII,i,r,4.2,-0.08079423506193954,-0.06666047881379926,-0.014133756248140266,-1.7418234485194675,2.8228382498637092,2.4953140756975145,-0.3275241741661947,5
61099873,TDE,i,r,3.8,0.08671570679538014,0.17467313188639427,-0.087957425091014,-1.873022090097176,4.349289992081158,4.128353345478091,-0.2209366466030671,5
106619084,SNIa,i,r,5.0,-1.8102291227552725,0.862753700520089,-2.6729828232753614,66.90885813767218,19.717236890924525,21.346622420198173,1.629385529273648,4
38941537,SNIa-91bg,i,r,3.8,-0.007345298305196035,0.0008033817626183322,-0.008148680067814381,-3.390797835154449,5.3796264291463185,5.0546595020846965,-0.324966927061622,5
60299807,TDE,i,r,5.6,0.056831742540219346,0.036736858382136715,0.020094884158083054,0.535907845341462,1.4055315158402784,1.5847481463506221,0.17921663051034376,5
105699563,SNIa,i,r,4.6,0.17358255431468378,0.49215168654607755,-0.318569132231394,14.476022084374108,11.056623361936497,11.692944122507987,0.6363207605714898,5
7779381,SNIbc,i,r,4.2,0.07635844655329027,0.05342851573602723,0.022929930817263095,3.2858432036701344,1.8362396469981273,2.5802362769478964,0.7439966299497691,5
14569980,SNIa-91bg,i,r,3.3333333333333335,-0.10129764555703313,-0.11226910937684359,0.010971463819810817,-4.011448309816976,5.134053918231139,4.727267849983491,-0.40678606824764785,6
26677569,SNII,i,r,4.4,-0.060809051449851735,-0.008406804409578417,-0.05240224704027332,-3.4425879659648286,3.400851727452976,2.8501235948911168,-0.5507281325618592,5
76485976,SNIax,i,r,5.0,0.15949176644378582,0.22887601101617056,-0.06938424457238476,-1.149746660143932,3.1917239266735646,3.006219380543706,-0.18550454612985856,5
84724459,SNIbc,i,r,4.333333333333333,0.004751643405643528,0.05686120346854162,-0.05210956006289822,-3.3924899395280654,3.261814250306195,2.692014536359806,-0.5697997139463893,6
