model_a,model_b,n_matched_object_band_pairs,delta_rmse_mean,delta_rmse_median,delta_rmse_se,delta_nrmse_mean,delta_nrmse_median,delta_nrmse_se,delta_nlpd_mean,delta_nlpd_median,delta_nlpd_se,delta_crps_mean,delta_crps_median,delta_crps_se,delta_ncrps_mean,delta_ncrps_median,delta_ncrps_se,delta_coverage_1sigma_mean,delta_coverage_1sigma_median,delta_coverage_1sigma_se,delta_z_score_std_mean,delta_z_score_std_median,delta_z_score_std_se,fraction_improved_rmse,fraction_improved_nrmse,fraction_improved_nlpd,fraction_improved_crps,fraction_improved_ncrps,fraction_better_calibrated_z_std
mogp_real_wavelength,single_band_gp,100,-2.0235357965198713,-0.24698179777899965,2.1502089578195624,-0.2659303357930049,-0.03756605221229373,0.29028840932287214,-0.17318767259111312,-0.08551035541676555,0.06771960838373034,-2.49731785720292,-0.16943746420674444,1.4475838182457563,-0.35925651882834303,-0.03194714267273879,0.21930161515844615,0.016166666666666666,0.0,0.02081322935716247,-0.03519661127648613,0.0030011053099295304,0.03983792727326224,0.62,0.62,0.68,0.66,0.66,0.57
mogp_real_wavelength,mogp_independent_band_control,100,-0.3300999956103194,-0.13351373927970922,1.9795612030556267,-0.035966139582650145,-0.023524746251563033,0.26869584281663556,-0.2223894886607272,-0.1095540096168448,0.0761777988565201,-3.0464621728023245,-0.28106233738311415,1.4857058338460334,-0.44933452813197744,-0.04606578449274967,0.23960943383463107,-0.007333333333333334,0.0,0.015250103493604774,0.01700372513195353,0.01692654499972679,0.03726382612282299,0.61,0.61,0.82,0.75,0.75,0.67
mogp_real_wavelength,mogp_shuffled_wavelength_control,100,-0.6502254440299139,0.005188120402525143,1.06711574234161,-0.11786402761525759,8.262303387979175e-05,0.16021399019407762,-0.206901271975215,-0.024947135006436305,0.05126327279834084,-4.295570902985466,-0.06370205547760455,2.4671032116999987,-0.6702603109898908,-0.008170052409310513,0.38943414736729415,-0.01893333333333333,0.0,0.011224660201226432,0.03438083460749676,0.021459785827073856,0.017924239072228728,0.5,0.5,0.63,0.63,0.63,0.62
same_total_train_budget_existing,single_band_gp,100,5.795707640375546,1.3831241577242708,2.215560565339179,0.9794549559596096,0.1673716172079377,0.360262943429908,1.259094781640465,0.4512091169324588,0.36092198236763007,5.26540365795579,1.3037222407136793,1.9411961763533543,0.8475461228308396,0.18099816137706395,0.30368436090375434,-0.0255,0.0,0.028328336853958358,0.20068524226843507,0.00439251121972143,0.09430236357659408,0.31,0.31,0.18,0.21,0.21,0.38
mogp_target_only,single_band_gp,100,7.360149995694342e-08,6.958245202248747e-09,5.479363105015682e-07,-2.07645014849156e-08,1.3436720347481668e-09,6.967314248029987e-08,1.8933225249817555e-08,2.6734594538169176e-08,6.997150144326489e-08,7.341946915007114e-07,1.3657011521672757e-08,6.118171698826803e-07,1.303868253982321e-07,2.9131241585655943e-09,9.73339554535314e-08,0.0,0.0,0.0,-2.654114721341305e-08,7.656758560514731e-09,6.871213905862936e-08,0.49,0.49,0.42,0.48,0.48,0.53
