model,object_id,target_band,n_train_target_band,n_train_other_bands,n_heldout_target_band,heldout_indices,rmse,nrmse,crps,ncrps,object_flux_scale,nlpd,coverage_1sigma,coverage_2sigma,coverage_3sigma,z_score_mean,z_score_std,pit,notes,shuffle_repeat
mogp_independent_band_control,114421739,r,13,19,4,[ 7  8 12 16],5.856829587403735,0.24133784191900673,3.2544016906850417,0.13410161061484088,24.26817750930786,3.0374900386715624,0.5,1.0,1.0,-0.3973468875307682,0.9307714469803263,[0.67243242 0.06661237 0.72533667 0.12854608],Approximate independent-band control: wavelength length scale set near zero.,
mogp_shuffled_wavelength_control_seed0,114421739,r,13,19,4,[ 7  8 12 16],7.679301171674607,0.31643501736911533,4.370222211167894,0.18008036283283863,24.26817750930786,3.515086164448997,0.5,0.75,1.0,-0.9553895349198234,1.1057376956420522,[0.31994739 0.00524643 0.67598732 0.10545447],,0.0
mogp_shuffled_wavelength_control_seed1,114421739,r,13,19,4,[ 7  8 12 16],7.859464807123709,0.323858880796025,4.512599624888972,0.18594719867852466,24.26817750930786,3.5861577555924606,0.5,0.75,1.0,-1.0093428246275475,1.1260220280337092,[0.28954549 0.00413604 0.67302075 0.09849581],,1.0
mogp_shuffled_wavelength_control_seed2,114421739,r,13,19,4,[ 7  8 12 16],7.769080919128088,0.3201345019068004,4.425737062722161,0.1823679203361977,24.26817750930786,3.5313459798906175,0.5,0.75,1.0,-0.9679873992886436,1.1059977064770166,[0.32358318 0.00511773 0.66891288 0.09967786],,2.0
mogp_shuffled_wavelength_control_seed3,114421739,r,13,19,4,[ 7  8 12 16],7.530509459563014,0.31030387249618346,4.241114285912025,0.17476031252389598,24.26817750930786,3.4483703748503896,0.5,0.75,1.0,-0.892165508870775,1.0977297393028176,[0.40070836 0.00654271 0.66599096 0.10301063],,3.0
mogp_shuffled_wavelength_control_seed4,114421739,r,13,19,4,[ 7  8 12 16],7.936627307587586,0.3270384562064274,4.552399585892319,0.18758720485484678,24.26817750930786,3.5961567700066177,0.5,0.75,1.0,-1.0111979509299758,1.1241657585612075,[0.29380645 0.00409992 0.66807602 0.09794124],,4.0
same_total_train_budget_existing,114421739,r,3,10,4,[ 7  8 12 16],8.915825516592816,0.3673875186207627,5.000636117171302,0.20605734053384722,24.26817750930786,3.4900053251973837,0.5,1.0,1.0,-0.9445519644900504,0.8575538174539891,[0.53365241 0.02720174 0.38582742 0.04959009],"Fixed-total-budget comparison, not an isolated cross-band covariance test.",
single_band_gp,30652072,r,18,0,5,[ 2  4  6  9 15],3.316675385877024,0.5222630187873352,1.94242268026619,0.30586518568459664,6.350584411621091,2.6900051962115095,0.8,1.0,1.0,-0.1748056107313165,0.6472792818194284,[0.19431475 0.84610824 0.29029501 0.46369384 0.34895199],,
mogp_target_only,30652072,r,18,0,5,[ 2  4  6  9 15],3.316674844686628,0.5222629335683442,1.9424224005459299,0.3058651416382157,6.350584411621091,2.690005076589791,0.8,1.0,1.0,-0.17480559283407007,0.6472792658358938,[0.19431473 0.84610822 0.29029496 0.46369388 0.3489521 ],,
mogp_real_wavelength,30652072,r,18,27,5,[ 2  4  6  9 15],3.3443604153464657,0.5266224647335666,1.9232809921710903,0.30285102401782593,6.350584411621091,2.6436420462182904,0.8,1.0,1.0,-0.13470246229219882,0.73028883278037,[0.2416435  0.90080652 0.32442478 0.42092337 0.27300341],,
mogp_independent_band_control,30652072,r,18,27,5,[ 2  4  6  9 15],3.2650917956590675,0.5141403663077362,1.9055995804243895,0.3000668059678548,6.350584411621091,2.6665805178792388,0.8,1.0,1.0,-0.1809305222798633,0.6412387260067517,[0.19161373 0.84250638 0.29836168 0.45542245 0.34590179],Approximate independent-band control: wavelength length scale set near zero.,
mogp_shuffled_wavelength_control_seed0,30652072,r,18,27,5,[ 2  4  6  9 15],2.9673158695227997,0.46725083507162507,1.8801061174410054,0.2960524568416968,6.350584411621091,2.7635624609284966,1.0,1.0,1.0,-0.05218203518126456,0.4408168980925987,[0.43059511 0.73659529 0.2649026  0.59222495 0.3730055 ],,0.0
