model,n_object_band_cases,n_unique_objects,n_total_heldout,rmse_obs_weighted,nrmse_obs_weighted,nlpd_obs_weighted,crps_obs_weighted,ncrps_obs_weighted,coverage_1sigma_obs_weighted,coverage_2sigma_obs_weighted,coverage_3sigma_obs_weighted,z_score_mean_obs_weighted,z_score_std_obs_weighted,rmse_object_weighted,rmse_object_std,rmse_object_se,nrmse_object_weighted,nrmse_object_std,nrmse_object_se,nlpd_object_weighted,nlpd_object_std,nlpd_object_se,crps_object_weighted,crps_object_std,crps_object_se,ncrps_object_weighted,ncrps_object_std,ncrps_object_se,coverage_1sigma_object_weighted,coverage_1sigma_object_std,coverage_1sigma_object_se,coverage_2sigma_object_weighted,coverage_2sigma_object_std,coverage_2sigma_object_se,coverage_3sigma_object_weighted,coverage_3sigma_object_std,coverage_3sigma_object_se,z_score_mean_object_weighted,z_score_mean_object_std,z_score_mean_object_se,z_score_std_object_weighted,z_score_std_object_std,z_score_std_object_se
mogp_independent_band_control,100,100,502,21.436273008304422,2.83689886219821,3.6127407151763844,10.448343253794718,1.4886950078461079,0.7948207171314741,0.9621513944223108,0.9820717131474104,-0.15805755533782023,0.9255978892649381,10.283405863149891,18.950588793695687,1.8950588793695686,1.3321074340400931,2.5258973043720525,0.25258973043720523,3.630530443758232,1.2780528318944908,0.1278052831894491,10.64166785489339,30.092531578163193,3.0092531578163193,1.513240701544629,4.859469008425278,0.4859469008425278,0.7929999999999999,0.20745342803528571,0.02074534280352857,0.9616666666666666,0.11540928971550551,0.01154092897155055,0.9814999999999999,0.07708548318050366,0.007708548318050366,-0.1556374469076503,0.4806949745582751,0.04806949745582751,0.666130641632257,0.4469046566912852,0.04469046566912852
mogp_real_wavelength,100,100,502,21.473315117492696,2.736976305463709,3.391005702395013,7.453860504422862,1.045625714382308,0.7888446215139442,0.9681274900398407,0.9900398406374502,-0.16601241430390076,0.8763425659590766,9.953305867539571,19.25806976934152,1.9258069769341521,1.296141294457443,2.4453603428016977,0.24453603428016976,3.408140955097504,0.964010700190949,0.0964010700190949,7.595205682091066,17.62332232864282,1.762332232864282,1.0639061734126516,2.7369163358855144,0.2736916335885514,0.7856666666666666,0.21173512241736228,0.021173512241736227,0.968,0.08296822373892801,0.008296822373892801,0.9898333333333333,0.0449401022986463,0.00449401022986463,-0.16341997805001549,0.43668778162265665,0.043668778162265665,0.6831343667642105,0.3578478946150045,0.035784789461500446
mogp_shuffled_wavelength_control,100,100,502,19.320890015850132,2.678980000495556,3.595963100550656,11.729746895322654,1.7131421567239413,0.807171314741036,0.9697211155378486,0.9876494023904383,-0.14026369340972128,0.8663922787062877,10.603531311569483,16.4013031510327,1.64013031510327,1.4140053220727011,2.3134478748217298,0.23134478748217296,3.61504222707272,1.1728892034441705,0.11728892034441704,11.890776585076532,30.795195174906436,3.0795195174906436,1.7341664844025424,4.934581438914595,0.4934581438914595,0.8046000000000001,0.188527747453909,0.018852774745390898,0.9691333333333334,0.07870674662368721,0.00787067466236872,0.9872333333333333,0.04577565700687183,0.004577565700687182,-0.13893337308202233,0.44699473849350374,0.04469947384935037,0.6487535321567138,0.38933306091237363,0.038933306091237366
mogp_target_only,100,100,502,25.468233069729575,3.4003650486332453,3.5635151798256617,9.858634835590781,1.393766272653429,0.7729083665338645,0.950199203187251,0.9780876494023905,-0.1875914826631014,0.9749419978852149,11.976841737660939,23.48216005210906,2.348216005210906,1.5620716094859466,3.1582502800488066,0.31582502800488066,3.5813286466218437,1.1815067450004366,0.11815067450004366,10.092524273488678,27.60904262289964,2.760904262289964,1.42316282262782,4.415863021549088,0.4415863021549088,0.7695000000000001,0.2220081671079383,0.02220081671079383,0.948,0.13117529673541867,0.013117529673541867,0.977,0.07192167456843084,0.0071921674568430835,-0.1904110216390263,0.5128725544914143,0.051287255449141436,0.7183309514995494,0.448118272370418,0.0448118272370418
same_total_train_budget_existing,100,100,502,31.5656011795117,4.950332242235783,4.844993050479917,15.326078910790516,2.277939778309695,0.7450199203187251,0.9143426294820717,0.950199203187251,-0.11987928695974237,1.719752937462995,17.772549304434982,26.102616796414157,2.6102616796414155,2.541526586210058,4.215773705081585,0.42157737050815847,4.840423409329084,4.099479314750842,0.4099479314750842,15.357927197249774,38.72405335074901,3.872405335074901,2.270708815071834,6.382310479037103,0.6382310479037103,0.7440000000000001,0.25031428056992483,0.02503142805699248,0.9126666666666666,0.16757530092910913,0.016757530092910915,0.9499999999999998,0.13360662228121847,0.013360662228121847,-0.10514667217793879,1.052844971576173,0.1052844971576173,0.9190162203091315,1.006394559910053,0.1006394559910053
single_band_gp,100,100,502,25.468233151745068,3.4003650947571695,3.563515157462738,9.858634126613936,1.3937661455391153,0.7729083665338645,0.950199203187251,0.9780876494023905,-0.18759138758490038,0.9749420711234156,11.976841664059439,23.48216005296616,2.3482160052966163,1.5620716302504478,3.1582503055550775,0.31582503055550776,3.5813286276886176,1.1815068394462485,0.11815068394462484,10.092523539293987,27.609038126715227,2.760903812671523,1.4231626922409948,4.415862214499738,0.4415862214499738,0.7695000000000001,0.2220081671079383,0.02220081671079383,0.948,0.13117529673541867,0.013117529673541867,0.977,0.07192167456843084,0.0071921674568430835,-0.19041092749863334,0.5128726186976478,0.051287261869764775,0.7183309780406967,0.4481183361137425,0.04481183361137425
