object_id,class,auxiliary_band,target_band,effective_aux_support_object,delta_nlpd_object,delta_sharp_object,delta_std_error_object,delta_squared_error_object,rmse_mogp_object,rmse_model_d_object,delta_rmse_object,n_test_points
21846282,SNIa,i,z,4.285714285714286,0.14828373323865884,0.04358912006548267,0.10469461317317605,52.668228581053505,12.0279118214873,14.04773616518076,2.0198243436934593,7
114421739,AGN,i,z,3.2857142857142856,-0.04537744005450106,0.012808356878455935,-0.058185796932956745,-39.31701763681416,20.0858833985508,19.082077828773375,-1.0038055697774233,7
30652072,SNII,i,z,4.833333333333333,0.054490914205236995,0.08443946046587625,-0.02994854626063918,-9.006995447424668,10.47355911568299,10.034363213591663,-0.43919590209132764,6
107732897,TDE,i,z,2.6666666666666665,0.13555684187196068,0.07751687418180923,0.05803996769015138,-1166.2692996379803,272.455023095941,270.3062528144174,-2.148770281523582,6
121186562,AGN,i,z,3.5,0.1866616816505565,0.021767549589677058,0.1648941320608797,691.8768103367273,32.236186223593435,41.60587113111469,9.369684907521254,6
10905347,SNII,i,z,3.8333333333333335,0.08318651410969309,0.03427217265705037,0.04891434145264289,23.485110366440576,6.664012868809917,8.239792344598543,1.575779475788626,6
16775731,SNIa,i,z,3.8333333333333335,0.26030263849683216,0.13329641818064328,0.12700622031618872,548.2802277951349,24.33112991876252,33.768093089762054,9.436963170999533,6
31971611,SNII,i,z,3.6666666666666665,0.179867366459224,0.20358796657449882,-0.023720600115274618,32.92474667591457,12.87319559486387,14.094109106273342,1.2209135114094725,6
50875482,SNIbc,i,z,2.5,0.14108283774074426,0.0008266830364098881,0.14025615470433428,48.60921407236046,20.234368742702987,21.4018432030523,1.1674744603493146,6
52437992,AGN,i,z,2.6666666666666665,0.14845889500163678,0.0377351384628744,0.11072375653876211,78.3041980619294,11.199693208511036,14.273658466794615,3.073965258283579,6
100164081,SLSN-I,i,z,3.8333333333333335,0.010777229799337448,0.15885036021964535,-0.1480731304203077,-26.135815523221993,11.680315369237288,10.502092724862926,-1.1782226443743617,6
6777396,AGN,i,z,3.6,0.06529797962040958,0.1327814573410466,-0.06748347772063712,3.95011224831624,12.94987488036551,13.10150264914059,0.15162776877508044,5
56002762,SNII,i,z,2.8333333333333335,0.16090131334180194,0.10706573854529362,0.05383557479650824,-123.41331422823687,20.167775990647787,16.83228665929595,-3.3354893313518374,6
93866109,SNIbc,i,z,3.1666666666666665,0.8025311231185154,0.8130834678956007,-0.010552344777085915,290.8995710590976,11.685861709316432,20.675080046963917,8.989218337647484,6
31725628,SNII,i,z,2.1666666666666665,0.11306351530054297,0.012847117326331066,0.10021639797421189,46.23051676564944,23.400252451499167,24.36805965930694,0.9678072078077733,6
41660164,SNIbc,i,z,3.0,0.36253238149484973,0.15629162173120756,0.2062407597636419,202.22664394832688,9.122514956433776,16.895174550110003,7.772659593676227,6
43441391,TDE,i,z,3.6666666666666665,0.18824860473520544,0.1655388399603319,0.022709764774873815,84.28716721092722,13.10612278966977,16.001800579585677,2.895677789915906,6
46741316,SNIa,i,z,3.142857142857143,0.08190715457963536,0.05908302197639328,0.022824132603242207,17.907794078870612,12.809280710365377,13.49019890126936,0.6809181909039843,7
56383332,SNIax,i,z,3.5,0.03321779939398217,0.005571559622095107,0.027646239771886988,6.792712400971104,7.839573348286268,8.261454029656733,0.42188068137046475,6
26794348,SNII,i,z,4.666666666666667,0.6798788373284405,0.07959389837897883,0.6002849389494621,319.07248883405765,15.76824175855859,23.826664411755342,8.058422653196752,6
97960909,SNIa,i,z,4.285714285714286,0.09951354551038717,0.13207819828733255,-0.03256465277694522,-9.219615224863478,13.980333013943698,13.646614816719223,-0.33371819722447427,7
114809828,SNII,i,z,4.666666666666667,-0.442791556615207,0.1535616945545055,-0.5963532511697127,-164.5095633173198,17.867514968437952,12.439394190636236,-5.428120777801716,6
9858227,M-dwarf,i,z,3.1666666666666665,-5.4688874050097995e-06,-3.001596527466067e-06,-2.4672908773836597e-06,-1.8180480656200804,567.7518313242348,567.7502302280085,-0.0016010962262953399,6
19370388,SNII,i,z,3.6666666666666665,0.1273721894201887,0.6341005103177956,-0.5067283208976064,26.592898463069407,24.23554863511222,24.778109615302764,0.5425609801905438,6
39985847,SNIa,i,z,5.333333333333333,0.1246333325953554,0.3246088031277095,-0.19997547053235418,5.679573826086425,11.589146483183018,11.83164781570005,0.24250133251703154,6
76782555,TDE,i,z,3.8333333333333335,-0.05283912297664369,0.07492680280181407,-0.12776592577845783,-28.731665518373905,14.55795891477613,13.53523188740909,-1.02272702736704,6
