object_id,obj_type,band,n_test,rmse,mae,sigma_rms,sigma_mean,sigma_median,sigma_q90,z_mean,z_std,z_error,mean_abs_z,rmse_sigma_ratio,mae_sigma_ratio
21846282,SNIa,r,4,0.8387790710861497,0.5851573890983244,0.2786256950131218,0.2599841025670532,0.29464978733668573,0.3451226314280606,-1.3535106304279962,2.061088772101729,1.061088772101729,1.9035500388835909,3.0104153568702543,1.9859420038531574
114421739,AGN,r,4,0.09877675196832586,0.08959751726111809,0.10901272025847282,0.10659482435327347,0.1053007043017313,0.13103927184648156,-0.21911551851792768,0.7997904009251173,-0.20020959907488267,0.7956405487912032,0.9061029917804351,0.8508729153831972
30652072,SNII,r,5,0.17396532668923162,0.15119126973557523,0.2528729194396212,0.24967223240351402,0.2551523679702132,0.29069905444348787,-0.1748055860411545,0.6472793244773014,-0.3527206755226986,0.5827592077259272,0.6879555433406919,0.5925528770841174
107732897,TDE,r,5,0.015913971532726175,0.007680806614026568,0.20709195353853252,0.1982397094984351,0.20930924152652008,0.2570041829636009,-0.028084221128621085,0.048581687914012094,-0.9514183120859879,0.028783932489734064,0.07684495346539452,0.03669597461635916
121186562,AGN,r,6,0.49454166222440926,0.32427872341007463,0.5236358680007674,0.48884608501806404,0.545992769873168,0.6669277163145297,0.14153905494597696,0.778192346804552,-0.22180765319544804,0.5983167447418255,0.9444380961001786,0.5939249405910692
10905347,SNII,r,5,0.11384464164957651,0.10551878414477982,0.15648487874662012,0.1491567839111169,0.12653072642567015,0.2080691485894053,-0.5821712249350861,0.7365409827106524,-0.2634590172893476,0.8278206998149116,0.7275120929346371,0.833938025375728
16775731,SNIa,r,5,0.026600183461019142,0.02252455941824732,0.22456652603807245,0.19963938256114183,0.21458187585234692,0.3115399545443752,-0.12937337274004684,0.2223390836171983,-0.7776609163828017,0.1695626469355546,0.11845123995242912,0.10496953355812022
31971611,SNII,r,5,0.08904516587012146,0.08127353093646314,0.19414113356599777,0.16749598940767382,0.09548549780232936,0.28790998639959614,0.5048128113568862,0.7427172740180457,-0.25728272598195434,0.7263021319882546,0.4586620271270374,0.8511609910094691
50875482,SNIbc,r,5,0.31527419427589404,0.2647126583478575,0.17110595716644264,0.16949363869594175,0.18070241727240607,0.1878341320915367,-0.5935365848007315,1.6158441205586194,0.6158441205586194,1.4949744113389598,1.8425670239476952,1.4649093373709954
52437992,AGN,r,5,0.27350386404496807,0.2014744143281309,0.22579854382674977,0.17453221053151308,0.10750525706325863,0.3225330636872755,0.9434344408350288,1.1659413041590483,0.1659413041590483,1.1742379307278688,1.2112738169596946,1.8740889499904048
100164081,SLSN-I,r,5,0.24754723266879936,0.1777657487473345,0.8137870028247014,0.8064841911685946,0.8669168595253068,0.9067959569402475,0.2528106152335525,0.25749390046503506,-0.7425060995349649,0.2528106152335525,0.30419167645778156,0.2050551293288641
6777396,AGN,r,5,0.20798993847751188,0.15994081053766507,0.09870706927467457,0.09601910850130331,0.09804512011426371,0.11936245198842245,0.4393930013373698,2.1383675578554695,1.1383675578554695,1.7777094475260777,2.1071432877693206,1.631298022290828
56002762,SNII,r,5,0.043283987364494805,0.030844710308502866,0.09314168844347108,0.07419620333380876,0.04342975584025146,0.13653721151460424,-0.1606493943297857,0.503671583826432,-0.49632841617356804,0.4129154642984421,0.4647112167261648,0.7102206704076252
93866109,SNIbc,r,5,0.006425248031978381,0.005237562649963432,0.1804247592486855,0.16737023351491087,0.17013837440154464,0.24369231070582856,0.0026163460924114946,0.04260594609416443,-0.9573940539058355,0.03528712352513059,0.03561178664576875,0.030784134786677977
31725628,SNII,r,5,0.08581518024238755,0.06427656672433765,0.12214233420261528,0.10278516000224185,0.06328529026792591,0.18415913279795534,-0.40345792089103955,0.8607994056974834,-0.13920059430251663,0.7083713712105795,0.7025834310652145,1.0156636155450192
41660164,SNIbc,r,6,0.1889447743048639,0.12936389659942477,0.685704384493565,0.5244824099925408,0.3071056903374732,1.1295833371378061,-0.44034478252921905,0.6090191038207137,-0.39098089617928633,0.47223807714009264,0.2755484412490833,0.421235752607739
43441391,TDE,r,5,0.037295687758007366,0.03369094932033532,0.25574960760820115,0.15461795584472704,0.054744665070885934,0.36546787586796287,0.06278235563592527,0.6453443180989209,-0.3546556819010791,0.514788841091433,0.14582891487811378,0.6154197724419487
46741316,SNIa,r,6,0.45857603792681445,0.3647554274238834,0.6456650526631432,0.5881723032845098,0.5815019847380105,0.9028302720822272,-0.6243576716214841,0.8606611106826922,-0.13933888931730776,0.7555788860505848,0.7102382822724386,0.6272642862744828
56383332,SNIax,r,5,0.08706494991362244,0.06494979381576502,0.19862418070198953,0.18884991543738133,0.1908692537211024,0.2559203185014717,0.04228986146325124,0.6550202543459592,-0.34497974565404077,0.4676756713812516,0.4383401336429042,0.3402842131434614
26794348,SNII,r,5,0.2685211778196165,0.22843349309108546,0.26249392256106846,0.25373819848904355,0.27702322695224096,0.3208837389005758,-0.3588926048565109,1.3271201757003408,0.3271201757003408,1.0858886462079747,1.0229615040216629,0.8246005059007835
97960909,SNIa,r,5,0.05502214956593952,0.04052756550306784,0.25595084878452307,0.22449063293152247,0.28275805404531335,0.34655924059774923,-0.37315883837387837,0.5382795324505323,-0.4617204675494677,0.4121353539303258,0.21497154561992066,0.14332948230211368
114809828,SNII,r,4,0.10771828250697078,0.0977711673729089,0.4818690219025012,0.45010669724269414,0.42757235726824583,0.6380091177697582,-0.020237957051072272,0.22772996103251622,-0.7722700389674838,0.22061803386929724,0.22354265912691504,0.2286657818516791
9858227,M-dwarf,r,6,0.3422631107327949,0.24641913652082845,0.5681159560322858,0.49632611514031066,0.4556196459557531,0.8483964982730021,-0.5137612795824015,0.39040187561854595,-0.6095981243814541,0.5137612795824015,0.6024529096544935,0.5408439664710136
