object_id,class,auxiliary_band,target_band,effective_aux_support_object,delta_nlpd_object,delta_sharp_object,delta_std_error_object,delta_squared_error_object,rmse_mogp_object,rmse_model_d_object,delta_rmse_object,n_test_points
21846282,SNIa,r,g,0.6666666666666666,-0.0004338268135097856,0.00012359482192788045,-0.0005574216354375227,-0.003941309258638756,2.8543066490426323,2.853616151045957,-0.000690497996675532,3
114421739,AGN,r,g,2.0,0.06990898294334953,0.034991812510315495,0.03491717043303402,1.4874344211855492,2.3630223851532954,2.659193338950953,0.29617095379765734,3
30652072,SNII,r,g,2.6666666666666665,0.011861131006344783,0.00876177960760006,0.0030993513987448845,0.10614440226126631,1.7617480162066546,1.7916195117461042,0.029871495539449677,3
107732897,TDE,r,g,3.0,0.23171636305086718,0.23387224614609617,-0.0021558830952294137,37.17580156414198,9.987604884744169,11.701626079221109,1.7140211944769401,3
121186562,AGN,r,g,1.3333333333333333,0.006740081186674907,0.057297852299382744,-0.050557771112707706,-27.464874685701716,61.90726779706031,61.68504625443057,-0.2222215426297396,3
10905347,SNII,r,g,1.3333333333333333,0.038430259299018665,0.05528210027812817,-0.016851840979109512,0.8289106392392261,3.403718734394883,3.523380743279093,0.11966200888420975,3
16775731,SNIa,r,g,1.3333333333333333,0.07500203078294672,0.016665569391777935,0.05833646139116869,122.50708638321697,3.1282551606599585,11.501872314254435,8.373617153594477,3
31971611,SNII,r,g,5.0,-0.0007678138451012728,-0.0006201212977693594,-0.00014769254733164186,-0.0004291522246108598,0.6241451814977431,0.6238012947744176,-0.00034388672332552606,2
50875482,SNIbc,r,g,3.0,0.08204077476587097,0.029899699239165075,0.05214107552670594,1.6623277374452954,2.6240320917949007,2.923674427191718,0.2996423353968174,3
52437992,AGN,r,g,2.0,0.7287414744421176,0.5528902025842051,0.1758512718579124,31.870861733161306,2.62636374869343,6.226447484208977,3.6000837355155473,3
100164081,SLSN-I,r,g,2.6666666666666665,0.026851413945386593,-0.003084806464670293,0.029936220410056943,3.4919574153153152,1.650792801401477,2.493406161954817,0.8426133605533399,3
6777396,AGN,r,g,1.0,1.4540844998556741,1.2403133149349965,0.2137711849206781,528.3082805890201,6.512420513650463,23.889744693814446,17.37732418016398,2
