object_id,class,auxiliary_band,target_band,effective_aux_support_object,delta_nlpd_object,delta_sharp_object,delta_std_error_object,delta_squared_error_object,rmse_mogp_object,rmse_model_d_object,delta_rmse_object,n_test_points
21846282,SNIa,u,g,1.6666666666666667,0.011393030587676675,-0.0031784454536199886,0.014571476041296556,0.12471208851712252,2.8995782253456843,2.921004274802752,0.02142604945706772,3
114421739,AGN,u,g,2.0,0.022012312372988136,-0.01312182087958448,0.03513413325257244,0.35614032991185995,2.521217701593552,2.5908838315795895,0.06966612998603727,3
30652072,SNII,u,g,2.0,-0.0005362126879936054,0.00016620998311284727,-0.0007024226711065534,-0.005397547023052766,1.5891528768393652,1.5874537218274356,-0.0016991550119296317,3
107732897,TDE,u,g,2.3333333333333335,0.17560649743332432,0.17526524283419476,0.0003412545991295074,49.45779977881245,9.350309473535233,11.699832777851793,2.349523304316559,3
121186562,AGN,u,g,1.6666666666666667,0.6519230583704356,-0.001591553064489229,0.6535146114349253,260.13002294479423,63.96278751790642,65.96490134916931,2.002113831262889,3
10905347,SNII,u,g,2.0,0.025064072355203065,-0.004279296138435205,0.02934336849363826,0.9597582423570762,3.091973976253457,3.243464399709929,0.151490423456472,3
16775731,SNIa,u,g,2.0,-0.05322368563125387,0.0031901510072703657,-0.05641383663852403,-5.450795777894574,30.07669502808352,29.985943174001534,-0.0907518540819865,3
31971611,SNII,u,g,3.0,0.037322020813390755,0.0066330740457235275,0.030688946767667202,0.2747757787333386,1.167064226015823,1.2793805869948358,0.11231636097901276,2
50875482,SNIbc,u,g,2.3333333333333335,0.05996668604008996,0.012712485182823101,0.04725420085726691,1.055088162360854,2.497139123271766,2.70014665589396,0.2030075326221943,3
52437992,AGN,u,g,1.3333333333333333,0.3446848487555889,0.2335099257265922,0.11117492302899672,27.610937116892256,2.8861232878673992,5.99505168865647,3.1089284007890705,3
100164081,SLSN-I,u,g,2.6666666666666665,-0.00557246657181798,2.9825742250461025e-05,-0.005602292314068564,-0.03659727092008817,1.6227646669424536,1.611449004268135,-0.011315662674318494,3
6777396,AGN,u,g,1.0,0.9704391604211342,0.8679828678579878,0.10245629256314609,466.9177340272604,6.455166918095558,22.551871628929952,16.096704710834395,2
56002762,SNII,u,g,1.5,0.060984693580587335,0.06105014479341088,-6.54512128238748e-05,-0.038679313888478103,0.41735443760627644,0.3681105984635232,-0.049243839142753265,2
93866109,SNIbc,u,g,2.0,0.0014937252269981993,0.00035604937943190126,0.0011376758475662098,0.022812116973372515,0.40877952935179934,0.4357898812391714,0.027010351887372053,2
31725628,SNII,u,g,1.0,-0.009814753531722934,-0.012516120087968824,0.002701366556245711,0.07055935083836101,0.15722703701512736,0.30867408703504295,0.1514470500199156,3
41660164,SNIbc,u,g,0.5,-0.00032669570373577983,1.3813494259227762e-05,-0.00034050919799621937,0.0004971149350296855,18.53289611584918,18.532909527534866,1.3411685685582597e-05,2
43441391,TDE,u,g,1.3333333333333333,0.5068191516610584,0.5751268008961596,-0.06830764923510153,-10.511489457000955,5.337711758209503,4.240244964235796,-1.097466793973707,3
46741316,SNIa,u,g,0.5,-0.05347096917324756,-0.053835711313553504,0.0003647421403062738,0.0016297238905851885,0.8538069177678345,0.8547607716307499,0.0009538538629154658,2
56383332,SNIax,u,g,1.3333333333333333,-0.07503292920206868,0.07554990688786867,-0.1505828360899372,-0.9440444366619536,3.040218850935869,2.8807787532061297,-0.15944009772973944,3
26794348,SNII,u,g,1.0,-0.01866186887623152,0.002322706981781324,-0.020984575858012736,-0.2754044431994121,4.966654709351308,4.938851542486583,-0.027803166864724282,3
97960909,SNIa,u,g,1.3333333333333333,0.30512538540713346,0.31246236969862523,-0.007336984291491224,-22.38274264661041,4.872120026833623,1.1639634484221826,-3.7081565784114403,3
114809828,SNII,u,g,1.6666666666666667,-8.695478631063716e-06,8.02623414213243e-06,-1.672171277331917e-05,-0.00033777747438074973,1.8328241242387122,1.8327319751990527,-9.214903965948373e-05,3
9858227,M-dwarf,u,g,1.3333333333333333,-0.0015470754540483818,0.000502566359456385,-0.002049641813504995,0.03324957737361922,1.8224336872682187,1.831533270749853,0.00909958348163431,3
19370388,SNII,u,g,2.0,0.1311625330809051,0.14296032604430042,-0.011797792963395665,1.1057040405276843,2.0579636365686973,2.311042701891668,0.25307906532297064,3
39985847,SNIa,u,g,1.6666666666666667,0.013425203148345352,5.851740442568942e-05,0.013366685743919573,0.1273604470614403,2.2145770204927424,2.243147749649129,0.028570729156386587,3
76782555,TDE,u,g,2.0,0.9242572441484512,1.050229325552065,-0.12597208140361374,-17.441471403486513,4.559421545405969,1.8294407411079578,-2.7299808042980107,3
92321294,SNIa,u,g,1.0,-1.8309969029850492e-07,3.4169334028764285e-12,-1.8310310710700772e-07,-2.830912937790142e-06,1.5007373097777919,1.5007363666034572,-9.431743346333121e-07,2
94621519,SNII,u,g,1.3333333333333333,-0.015753982164138886,0.0018241516195993575,-0.017578133783738445,-2.1105563776960934,3.051842820978823,2.683875598134885,-0.3679672228439377,3
106260667,TDE,u,g,2.5,-0.01628785336813321,0.5232535355430934,-0.5395413889112273,361.0416173313936,25.555772358238865,31.845550994723254,6.289778636484389,2
3219576,SNIbc,u,g,1.0,0.02418195831595075,0.019609655706458392,0.004572302609492529,0.8057711265309572,2.219748045367193,2.394379358297768,0.174631312930575,3
26109323,SNIbc,u,g,1.3333333333333333,0.0048809076518277665,0.012539983049957319,-0.007659075398129863,1.0110290166423448,12.15889217752937,12.200397042778047,0.041504865248676026,3
50150449,SNIbc,u,g,1.6666666666666667,0.03823703125600941,-0.00562286143966768,0.04385989269567698,0.4089777597004484,1.3780414913986883,1.5192024590938398,0.14116096769515152,3
74893050,TDE,u,g,2.0,0.575067281707366,0.5888741054193782,-0.013806823712011944,-148.85131380967607,12.445490117023734,2.457419468316179,-9.988070648707556,3
79883325,SNIa,u,g,2.0,0.0963463197693224,-0.025116201649532686,0.12146252141885523,0.2707372543621327,1.6639111346851692,1.743369587463146,0.07945845277797692,3
111941650,SNII,u,g,1.0,3.886225941007737e-05,2.6535708081212932e-05,1.2326551328924358e-05,0.0002461226050872803,0.8118822473210607,0.812033808483479,0.00015156116241821227,3
